userId,itemId
57,876
57,1600
57,1498
57,1274
57,1301
57,1307
57,1294
57,1698
57,1506
58,1428
58,1038
58,1601
58,1621
58,995
59,937
59,1402
60,1071
60,1318
60,1496
60,1688
60,1491
60,533
60,1630
60,1184
60,1398
60,1049
60,1431
60,1600
61,1417
61,1691
61,1420
61,1020
62,772
62,1579
62,1440
62,1377
62,446
62,1192
62,1244
63,1405
63,1650
64,684
64,885
64,1400
64,1354
64,802
64,1676
64,1376
64,1675
64,1245
64,1479
64,1290
64,1694
64,1465
64,1456
65,1426
66,389
66,1489
66,1167
66,1150
66,1547
66,1538
66,1202
66,1487
66,1601
66,968
67,1573
67,1468
67,1556
67,860
67,1533
67,1606
67,1490
67,1035
67,1514
67,1644
67,965
67,1289
68,1064
68,1025
68,1097
68,1509
68,1172
68,1343
68,1257
68,1315
68,1273
68,1538
68,289
68,1535
68,1222
68,1623
68,584
68,1253
68,1230
69,1407
69,1345
69,1385
70,1414
70,1445
70,1535
70,1636
70,1563
70,652
71,1573
71,1416
71,1678
71,1644
71,1267
71,1277
71,1495
72,1586
72,1527
72,1652
72,1528
73,1546
73,932
73,1579
73,772
73,1568
73,1618
73,925
73,1326
73,1422
74,1379
74,1398
75,1483
75,1602
75,884
76,1218
76,1425
76,1528
76,1382
76,1273
77,689
77,1393
77,688
77,1072
77,1571
77,987
78,1448
78,985
78,1699
78,1671
78,1320
78,1649
78,1124
79,1308
79,383
79,937
79,1022
79,1549
79,1572
79,880
79,672
79,1300
80,1412
81,686
81,950
81,1583
81,821
81,825
81,1450
81,1366
81,1396
82,1270
82,1535
82,1036
82,1171
82,1628
83,1463
83,1452
84,1669
84,626
84,880
84,952
84,1022
84,1151
84,1502
84,1320
84,954
84,1224
84,1301
84,1520
84,875
84,1553
84,1048
84,1463
84,1556
84,1275
84,1512
84,1134
84,1132
84,1165
84,1642
85,948
86,919
87,1277
87,1354
87,1689
87,1536
87,1520
87,1617
87,1600
88,1221
88,1226
88,1047
89,1194
89,1491
89,1546
89,1528
89,1558
89,1484
89,640
89,1257
89,1547
89,1249
90,1387
90,1602
90,1393
90,1691
90,1699
90,1675
90,1576
92,1206
92,1109
92,1650
92,1185
92,1218
92,1621
93,1014
93,649
93,1681
93,1527
93,684
93,1629
93,1387
94,1295
94,1576
94,1691
94,1414
95,1355
95,821
96,938
96,1498
96,1097
96,906
97,1428
97,1543
97,1486
97,1688
97,1036
97,1354
97,1594
97,1580
97,1273
97,937
97,558
97,1621
97,1460
98,1556
98,1509
98,1372
98,1496
98,1605
98,1374
99,1650
99,961
99,1490
99,1699
101,1634
101,960
101,1471
101,1611
101,1343
101,1016
101,1097
102,1373
102,1428
102,1385
103,1559
103,1504
103,1582
103,1204
103,1419
103,1027
103,1512
103,1179
103,667
103,1635
103,834
103,1298
103,1660
104,1623
104,1599
104,1372
104,772
104,1218
104,1021
104,1553
104,602
104,965
104,451
104,1638
104,1278
104,1320
104,1045
104,1676
104,1280
104,1517
104,1632
104,1298
104,1426
104,1572
104,1649
106,1650
106,1691
106,419
106,1369
106,550
106,1411
106,1587
106,1022
106,506
106,1591
106,1387
106,1640
106,710
106,1630
106,1699
106,1410
106,740
106,1607
106,1424
106,1432
107,1465
107,1103
107,1440
107,1224
108,1628
108,874
108,1520
108,1467
108,1485
108,582
108,1693
108,1602
108,1132
108,1571
108,1281
108,1516
108,1213
108,1636
108,609
108,1462
109,1552
109,1582
110,1248
110,1538
111,1512
111,1572
111,1289
111,954
111,1602
111,1207
111,1295
111,1406
111,1267
111,1617
111,1553
111,1576
113,1520
113,1268
113,1209
113,1235
113,1573
113,772
113,1644
113,1315
113,1199
113,1281
113,1557
113,1585
113,1558
113,1650
113,1687
113,1229
114,279
114,1301
114,928
114,1637
114,781
114,1295
114,1583
114,1007
114,1520
114,1642
115,965
115,747
115,1526
115,1606
115,1650
115,1601
116,777
116,1554
116,1238
116,682
117,1427
117,1318
117,1648
117,529
117,1286
117,895
117,1576
117,915
117,1527
117,1396
117,1150
117,745
117,695
117,922
117,1496
117,1688
117,1415
117,1270
117,1116
118,1498
118,1504
118,1410
118,1288
118,1634
118,1235
118,1132
118,584
118,648
118,1601
118,1289
119,1672
119,1112
119,1080
119,1307
119,1595
119,1500
119,972
119,1564
119,1657
119,1604
119,1124
119,932
119,1283
119,1568
119,1280
119,1180
119,1675
119,1185
119,1471
120,1491
120,1159
120,581
120,566
120,1591
120,686
120,476
120,1144
120,1553
120,1316
120,483
120,456
120,1299
120,969
121,653
121,1408
121,949
121,1575
122,1603
122,659
122,1641
122,1484
122,1602
122,1548
122,1203
122,1564
122,998
122,1185
122,1116
123,1527
123,1459
123,1498
123,1008
123,1602
123,1648
123,1237
123,1545
123,1169
125,1672
125,1431
125,993
125,1668
126,1600
126,1575
126,1387
128,1154
128,324
128,770
128,1406
128,983
129,1411
129,1049
129,745
129,1367
129,1519
129,270
129,1618
129,1369
130,1272
130,1645
130,1454
130,1001
130,1069
130,755
130,1047
130,1509
130,1600
130,1576
130,1126
130,1502
130,1007
130,1691
130,1318
130,1504
130,1223
130,990
131,537
132,1197
132,1546
132,1134
132,1267
132,953
132,663
132,945
132,1618
132,1586
132,512
132,1383
132,1150
132,1493
133,1699
133,1518
133,1631
133,1509
135,1153
135,1225
135,460
136,1474
136,1297
136,1541
136,1477
136,1109
136,1382
136,1531
136,1226
136,1296
136,1573
136,1651
136,1141
136,1506
136,1022
136,1619
136,1536
137,1428
137,1364
137,1414
137,1352
138,1601
138,770
138,1512
138,1450
138,1639
138,1060
138,1565
138,1611
138,1233
138,1602
138,1202
138,691
138,1141
138,1022
139,1238
139,1655
140,1484
140,1600
140,641
140,1183
140,1393
140,1413
141,1242
141,937
141,1412
141,1582
141,1290
142,946
145,1225
146,1658
146,874
146,689
146,1207
146,1617
146,1279
146,1229
146,1343
146,672
146,944
146,1451
146,1525
146,1532
147,1366
147,1010
147,820
148,874
148,1579
148,1436
149,605
149,1244
149,1507
149,1452
149,880
149,805
149,876
149,641
149,1290
149,855
149,1677
149,1024
149,1265
149,686
149,1368
149,1524
149,1011
149,1390
151,1582
152,1188
152,1677
152,1650
152,1573
152,1503
153,1220
153,1122
153,1687
153,1630
153,1218
153,1611
154,1633
154,1539
154,1489
154,1613
154,1485
154,1185
154,1487
154,898
154,1268
154,922
154,1203
154,1601
154,1488
154,1519
154,1429
155,804
155,1392
156,1618
156,1112
156,1478
156,781
156,1279
157,1308
157,1506
157,1205
157,1485
157,1049
157,1315
157,1471
157,1532
157,1503
158,951
159,1385
160,1513
160,1056
160,1619
160,1046
160,1519
160,1063
160,1611
160,944
160,1199
161,1594
161,836
162,950
162,1132
162,1691
162,1617
163,691
164,950
165,1295
165,1415
165,1500
165,1186
166,1414
166,1413
167,513
167,1427
167,1526
167,551
167,1122
167,1687
167,1624
167,1503
167,1402
167,1055
167,1252
167,720
167,1233
167,1470
169,1492
169,581
169,1012
170,1282
170,968
170,1613
170,1276
170,1478
170,1249
170,1566
171,1549
171,579
171,1680
171,1699
171,1442
172,794
172,1530
172,952
173,762
174,1523
174,590
174,1621
174,1049
174,1490
175,1594
175,692
175,1291
175,834
175,856
175,1675
175,649
176,952
177,834
177,965
177,1544
177,633
177,1557
177,1658
177,1197
179,1552
179,1311
183,1406
184,1436
184,1429
184,1022
185,1521
185,1228
185,1297
185,1579
185,863
186,1031
187,1396
187,950
187,1437
187,1430
188,1367
190,1022
190,1358
191,1367
191,1385
192,825
193,943
193,1471
193,1279
193,980
193,1302
193,1190
193,1492
193,1041
193,1185
193,1650
193,1307
194,1072
194,1435
194,1147
194,1474
194,1469
195,1466
195,1560
195,1538
195,971
195,1297
195,961
195,1268
195,754
195,1021
195,1442
195,890
195,1055
196,1288
196,1204
196,1275
196,770
196,1538
196,1054
196,1058
196,1518
196,1196
197,1441
198,1436
198,1499
198,1500
199,1357
200,1579
201,1573
202,1560
202,1650
202,945
202,1116
202,1146
202,899
202,966
202,197
203,1373
203,1402
204,1452
204,1315
204,285
204,1400
204,1621
204,1664
204,1150
204,661
204,1491
204,189
204,922
204,1015
204,1141
204,1692
204,1455
204,1484
205,1269
205,1679
205,605
205,781
205,1605
205,1650
205,1497
205,1295
205,1661
206,1245
206,1563
207,1463
207,1478
208,1685
210,1678
210,1441
210,1579
210,582
210,1273
210,1517
210,1620
210,1497
210,1225
210,1532
210,1417
211,959
212,958
212,1671
212,1190
212,952
212,1042
212,1565
212,964
212,1172
212,1528
212,1038
212,1470
213,1341
213,1009
214,1489
214,1425
214,1526
214,1249
214,1574
214,1216
214,1650
215,1204
216,1368
216,1010
216,1401
217,1406
218,35
218,457
