userId,itemId,rating,timestamp
57,1642,4,889007288
57,1589,4,875870362
57,1689,4,889007170
57,1130,1,889008295
57,1468,4,889008037
57,633,2,875869926
57,892,4,889008038
57,1344,4,889007768
57,1514,5,889007648
57,1485,5,889007170
57,1257,2,889007916
57,1490,4,889007317
57,1015,4,875870212
57,1688,5,889007263
57,1463,4,889060583
57,1229,5,875870212
57,1105,2,875870767
57,1638,3,889008173
57,689,2,875870730
57,1151,1,889007942
57,1519,4,875778148
57,1288,2,875870026
57,1516,5,889007417
57,1045,4,889007439
57,1604,4,889007090
57,1327,3,889008445
57,1573,5,875869944
57,626,4,889008420
57,1649,1,889008258
57,1474,4,889007830
57,1500,4,889007558
57,1512,4,889007439
57,906,3,889008313
57,1627,3,889007768
57,1505,4,889007577
57,1673,4,889008124
57,1295,4,875870212
57,1277,3,889007401
57,757,5,889007784
57,1576,3,875870165
57,1606,4,889008099
57,1419,4,875870469
57,512,3,889008420
57,1583,4,875870107
57,1119,4,889007984
57,1645,5,889007288
57,1646,4,889008142
57,1526,4,875778269
57,979,5,889007830
57,1279,2,889007521
57,1539,4,889007942
57,980,1,889008218
57,1677,4,889007067
57,772,5,875870244
57,1250,1,889061328
57,935,3,889008397
57,1602,5,889007150
57,1141,4,889007808
57,1579,3,875870266
57,1298,2,889007872
57,1632,4,889007670
57,672,2,875870266
57,1624,4,889007693
57,1578,1,875870746
57,1215,5,889007693
57,944,2,875870316
57,1658,5,889007212
57,1382,3,889007263
57,1636,5,875778109
57,1416,2,875870362
57,1518,5,889007236
57,1482,4,889008099
57,1621,5,889007189
57,1192,5,875869965
57,1513,5,889007317
57,1091,2,889007872
57,472,3,889008445
57,1225,5,875870059
57,860,4,889061274
57,1528,4,889007110
57,1647,3,889008237
57,1159,4,889008124
57,1467,5,889007497
57,884,4,889008356
57,1603,2,889007615
57,1418,5,875870400
57,1086,5,889007521
58,1583,4,891650986
58,1500,4,891651010
58,1096,4,891651309
58,1277,5,891651265
58,1439,4,891650843
58,1273,5,891651187
58,1213,4,891651155
58,1377,3,891650814
58,1085,3,891651187
58,1116,4,891651409
58,1353,5,891650566
58,1161,3,891650843
58,1387,3,891650566
58,1431,2,891650566
58,1189,4,891651101
58,1396,5,891650627
58,1507,5,891651213
58,1669,5,891651687
58,731,4,891650987
58,1569,5,891651264
58,1200,5,891650986
58,1221,4,891651288
58,1528,5,891651133
58,822,4,891650872
58,1484,4,891651133
58,1093,5,891651101
58,1338,3,891650590
58,1186,4,891651239
58,1397,4,891650647
58,1204,5,891651213
58,1605,5,891651686
58,1650,5,891650986
58,650,5,891651213
58,808,3,891650814
58,1603,5,891651409
58,1343,4,891651409
58,672,4,891651379
58,1378,3,891650709
58,1517,3,891651354
58,496,4,891651379
58,1385,4,891650525
58,1442,4,891650608
58,1466,4,891651331
58,1172,5,891651010
58,1041,5,891651331
58,1216,5,891651133
58,1039,4,891651309
58,821,4,891650709
58,1629,5,891651010
58,1384,4,891650788
58,1526,5,891651379
59,1553,4,875417247
59,1576,5,875417166
59,1583,5,875417056
